@relation EEG_DATA-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute AF3 numeric
@attribute F7 numeric
@attribute F3 numeric
@attribute FC5 numeric
@attribute T7 numeric
@attribute P7 numeric
@attribute O1 numeric
@attribute O2 numeric
@attribute P8 numeric
@attribute T8 numeric
@attribute FC6 numeric
@attribute F4 numeric
@attribute F8 numeric
@attribute AF4 numeric
@attribute eyeDetection {0,1}

@data
0.010702,0.236931,0.556326,0.002648,0.515557,0.005053,0.003558,0.027383,0.010837,0.498575,0.26423,0.426286,0.029886,0.004237,0
0.010687,0.236004,0.557117,0.002649,0.513684,0.005054,0.003559,0.026619,0.010795,0.496148,0.263219,0.426071,0.029865,0.004224,0
0.010697,0.236416,0.557379,0.002661,0.512514,0.005046,0.003558,0.02339,0.010783,0.495197,0.262931,0.42661,0.029838,0.004231,0
0.010701,0.237446,0.557556,0.00266,0.514035,0.005043,0.003559,0.023579,0.01082,0.49794,0.264086,0.427799,0.029862,0.004241,0
0.010692,0.237446,0.556854,0.002653,0.514971,0.005054,0.003556,0.022437,0.010795,0.499735,0.264664,0.427909,0.029865,0.004244,0
0.010676,0.236004,0.555448,0.002656,0.514503,0.005056,0.003552,0.018443,0.010763,0.497414,0.263796,0.426395,0.029835,0.004232,0
0.010671,0.235283,0.554833,0.002653,0.514035,0.005048,0.003546,0.018065,0.0108,0.496148,0.261342,0.424016,0.029815,0.004216,0
0.010691,0.236416,0.554482,0.00264,0.514152,0.005044,0.003541,0.017683,0.010775,0.496887,0.259897,0.423369,0.029795,0.004219,0
0.010692,0.237241,0.554131,0.002634,0.514387,0.005047,0.003548,0.015214,0.010707,0.49678,0.26163,0.424882,0.029828,0.004232,0
0.010692,0.237343,0.554219,0.002638,0.514152,0.005043,0.003551,0.015403,0.010732,0.49657,0.264664,0.425746,0.029896,0.004237,0
0.010692,0.237241,0.553517,0.00264,0.513801,0.005034,0.003542,0.018065,0.010777,0.49657,0.264086,0.424665,0.029859,0.004222,0
0.010662,0.23559,0.551234,0.002629,0.5131,0.00504,0.003539,0.017872,0.010738,0.495514,0.260331,0.422395,0.029737,0.004205,0
0.010634,0.233734,0.549214,0.002611,0.512282,0.005048,0.003546,0.015974,0.010711,0.495092,0.258308,0.421099,0.02969,0.004204,0
0.010634,0.234766,0.549916,0.002608,0.512865,0.005048,0.003548,0.018443,0.010775,0.495936,0.259463,0.42272,0.029717,0.004206,0
0.010649,0.236312,0.551409,0.002616,0.513452,0.005053,0.003546,0.022819,0.010814,0.495831,0.260762,0.42499,0.029727,0.004212,0
0.010652,0.235797,0.55062,0.002616,0.512749,0.005053,0.003548,0.022437,0.010777,0.495726,0.260909,0.423908,0.029717,0.004217,0
0.010629,0.234663,0.549127,0.002608,0.512514,0.005047,0.003554,0.019774,0.010763,0.496041,0.25932,0.420774,0.02969,0.004204,0
0.010619,0.234354,0.549478,0.002607,0.513452,0.005047,0.003547,0.018254,0.010767,0.496041,0.258018,0.420667,0.02969,0.004204,0
0.010647,0.235075,0.55062,0.00261,0.513684,0.005054,0.003538,0.016163,0.010725,0.495409,0.258886,0.422937,0.029747,0.004221,0
0.010659,0.235797,0.550883,0.002608,0.513568,0.005058,0.003543,0.014832,0.010709,0.494141,0.261052,0.424125,0.029791,0.004217,0
0.010654,0.236209,0.551234,0.002609,0.514387,0.005058,0.00355,0.016923,0.010779,0.495302,0.263796,0.424558,0.029812,0.00422,0
0.010687,0.237653,0.551849,0.002623,0.513919,0.005056,0.003549,0.018825,0.010804,0.498996,0.266109,0.42499,0.029862,0.004247,0
0.010709,0.239921,0.552375,0.002635,0.512398,0.005051,0.003546,0.018825,0.010771,0.499948,0.265675,0.42499,0.029906,0.004248,0
0.010694,0.239096,0.552024,0.002631,0.51193,0.005053,0.003543,0.020156,0.010804,0.498575,0.263509,0.42434,0.029876,0.004225,0
0.010677,0.236622,0.551322,0.002623,0.513217,0.005051,0.003541,0.02339,0.010868,0.499418,0.263509,0.424125,0.029832,0.004217,0
0.010664,0.236622,0.550883,0.002617,0.514035,0.00505,0.003543,0.026619,0.010874,0.500474,0.263652,0.424016,0.029815,0.004227,0
0.010646,0.236519,0.549741,0.002612,0.512398,0.005056,0.003542,0.02491,0.010789,0.497309,0.260331,0.422395,0.029751,0.004219,0
0.010636,0.235075,0.548776,0.002606,0.51076,0.005051,0.00354,0.018636,0.010713,0.494036,0.257151,0.420667,0.029677,0.004193,0
0.010634,0.235488,0.550092,0.002608,0.511579,0.005043,0.003542,0.016163,0.010727,0.494036,0.258162,0.421314,0.029684,0.00419,0
0.010644,0.237343,0.5522,0.00262,0.5131,0.005046,0.003546,0.018254,0.010754,0.49488,0.259897,0.423152,0.029724,0.00421,0
0.010644,0.236829,0.5522,0.002621,0.512633,0.005051,0.003542,0.017683,0.010717,0.494458,0.259751,0.423152,0.029707,0.00421,0
0.010627,0.235178,0.551234,0.002605,0.510995,0.005047,0.003538,0.014832,0.010698,0.494141,0.261052,0.422612,0.029724,0.004203,0
0.010631,0.235695,0.551849,0.002606,0.511112,0.005043,0.00354,0.016541,0.010762,0.495726,0.263509,0.42434,0.029798,0.004217,0
0.010656,0.236726,0.552727,0.002617,0.512163,0.005047,0.00355,0.021677,0.010802,0.497097,0.264086,0.425314,0.029812,0.004222,0
0.010652,0.235695,0.551936,0.00261,0.512398,0.005054,0.003565,0.024528,0.010812,0.497414,0.263075,0.424233,0.029774,0.004207,0
0.010634,0.234561,0.550356,0.002603,0.511579,0.00506,0.00356,0.02263,0.01082,0.49794,0.263365,0.423801,0.029791,0.004201,0
0.010636,0.236312,0.55018,0.002605,0.510995,0.005051,0.003532,0.017683,0.010763,0.498153,0.263509,0.42434,0.029835,0.004204,0
0.010627,0.236622,0.55018,0.002605,0.510995,0.005034,0.003524,0.015021,0.010703,0.495726,0.260762,0.423476,0.029798,0.0042,0
0.010599,0.233632,0.549565,0.002601,0.511112,0.005038,0.003538,0.015592,0.010713,0.492453,0.257441,0.421746,0.02969,0.004195,0
0.010611,0.233942,0.550092,0.002603,0.511579,0.005044,0.003542,0.016541,0.010738,0.49277,0.257731,0.422071,0.029657,0.004199,0
0.010652,0.237241,0.551322,0.002611,0.512633,0.005037,0.003544,0.019014,0.010767,0.495514,0.260762,0.423584,0.029737,0.004205,0
0.010664,0.237241,0.551058,0.002613,0.5131,0.005047,0.003554,0.021677,0.010785,0.49678,0.261486,0.42434,0.029778,0.004213,0
0.010626,0.234766,0.549916,0.002606,0.511344,0.005048,0.003555,0.019585,0.010754,0.495197,0.260185,0.423801,0.029721,0.004204,0
0.010597,0.234147,0.549478,0.002605,0.509709,0.00503,0.003543,0.018065,0.010765,0.493402,0.260475,0.422503,0.02969,0.004186,0
0.010604,0.235283,0.549214,0.002609,0.511579,0.005036,0.003541,0.021298,0.010831,0.495619,0.262641,0.423044,0.029751,0.004194,0
0.010616,0.236416,0.549565,0.002605,0.513684,0.005061,0.003555,0.022437,0.010816,0.499209,0.266109,0.425097,0.029832,0.004212,0
0.010636,0.236312,0.550707,0.002601,0.511814,0.005057,0.00356,0.020156,0.010779,0.499631,0.267554,0.425422,0.029869,0.004214,0
0.010657,0.235178,0.55176,0.002605,0.51076,0.005046,0.003551,0.020156,0.010793,0.498892,0.266396,0.425639,0.029872,0.004219,0
0.010666,0.236004,0.552815,0.002609,0.512749,0.00505,0.003541,0.020345,0.010781,0.499313,0.265965,0.427367,0.029879,0.004229,0
0.010661,0.23786,0.552638,0.002611,0.513801,0.005063,0.003545,0.018254,0.010756,0.497414,0.264807,0.426395,0.029849,0.004212,0
0.010624,0.236829,0.551234,0.002604,0.513452,0.00508,0.003551,0.016734,0.010752,0.49467,0.260618,0.42218,0.029727,0.004187,0
0.010586,0.234044,0.550356,0.002598,0.512633,0.005081,0.00355,0.015781,0.010729,0.493085,0.257297,0.42045,0.029636,0.004173,0
0.010599,0.233942,0.551058,0.002602,0.512514,0.005076,0.003558,0.017494,0.010729,0.492663,0.258886,0.422071,0.029663,0.004177,0
0.010634,0.236519,0.552727,0.002613,0.51427,0.005078,0.003567,0.020535,0.010773,0.495092,0.262497,0.424448,0.029744,0.004211,0
0.010659,0.239304,0.554395,0.002626,0.514619,0.005067,0.003556,0.019585,0.010787,0.49794,0.26452,0.426286,0.029818,0.004234,0
0.010702,0.240333,0.554922,0.002637,0.512514,0.005051,0.003538,0.017112,0.010767,0.497626,0.264807,0.426503,0.029852,0.004228,0
0.010724,0.240025,0.554922,0.002641,0.512398,0.005067,0.003544,0.018254,0.010762,0.497519,0.264374,0.425097,0.029855,0.004226,0
0.010687,0.238889,0.554131,0.002629,0.513568,0.005093,0.003563,0.021866,0.010796,0.499313,0.265675,0.425529,0.029865,0.00423,0
0.010656,0.237343,0.552815,0.002608,0.51193,0.005097,0.003565,0.02415,0.010839,0.499526,0.266977,0.426935,0.029849,0.004219,0
0.010649,0.236209,0.552375,0.002611,0.511695,0.005094,0.003565,0.02415,0.010824,0.498892,0.265675,0.425854,0.029795,0.004211,0
0.010647,0.236931,0.553078,0.002626,0.514152,0.005093,0.003563,0.023008,0.010789,0.498996,0.264807,0.425422,0.029791,0.004218,0
0.010649,0.237138,0.552815,0.002619,0.51427,0.005097,0.003556,0.023197,0.010808,0.498153,0.265241,0.42661,0.029808,0.004212,0
0.010634,0.235797,0.552113,0.002606,0.511814,0.005094,0.003555,0.023957,0.010812,0.49657,0.263365,0.425961,0.029734,0.004194,0
0.010606,0.23559,0.552287,0.002609,0.511463,0.00507,0.003543,0.019396,0.010729,0.494987,0.260475,0.423801,0.029667,0.004188,0
0.010596,0.2359,0.551936,0.002607,0.513684,0.005066,0.003532,0.01445,0.010666,0.49298,0.259463,0.423476,0.029663,0.004191,0
0.010619,0.235797,0.551498,0.002613,0.514738,0.005088,0.003542,0.016923,0.010727,0.492453,0.260618,0.42499,0.029657,0.004188,0
0.010651,0.236726,0.552815,0.00263,0.513801,0.005078,0.003548,0.020727,0.010783,0.495197,0.262785,0.426827,0.0297,0.004194,0
0.010661,0.237963,0.55457,0.002634,0.512749,0.005046,0.003538,0.017683,0.010748,0.497836,0.26452,0.427367,0.029781,0.004216,0
