@relation HR_comma_sep_11250_11264_xxx-CSV_fix-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute satisfaction_level numeric
@attribute last_evaluation numeric
@attribute number_project numeric
@attribute average_montly_hours numeric
@attribute time_spend_company numeric
@attribute Work_accident numeric
@attribute left numeric
@attribute promotion_last_5years numeric
@attribute sales=sales numeric
@attribute sales=accounting numeric
@attribute sales=hr numeric
@attribute sales=technical numeric
@attribute sales=support numeric
@attribute sales=management numeric
@attribute sales=IT numeric
@attribute sales=product_mng numeric
@attribute sales=marketing numeric
@attribute sales=RandD numeric
@attribute salary numeric

@data
0.318681,0.265625,0,0.285047,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.78022,0.78125,0.6,0.775701,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.021978,0.8125,1,0.82243,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.692308,0.796875,0.6,0.593458,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.307692,0.25,0,0.294393,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.351648,0.21875,0,0.266355,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.010989,0.640625,0.8,0.705607,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.912088,0.765625,0.6,0.761682,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.879121,1,0.6,0.598131,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.362637,0.265625,0,0.214953,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.395604,0.28125,0,0.182243,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.021978,0.703125,0.8,0.976636,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.824176,0.875,0.4,0.64486,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.351648,0.296875,0,0.242991,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.296703,0.3125,0,0.191589,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.318681,0.28125,0,0.219626,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.395604,0.171875,0,0.299065,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.758242,0.984375,0.4,0.742991,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.395604,0.234375,0,0.299065,0.125,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0.736264,0.828125,0.6,0.775701,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.021978,0.734375,0.8,0.869159,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.318681,0.296875,0,0.238318,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0.921875,0.8,0.971963,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.406593,0.328125,0,0.200935,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.340659,0.265625,0,0.28972,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.879121,0.875,0.6,0.682243,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.802198,0.796875,0.4,0.668224,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.340659,0.203125,0,0.182243,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.351648,0.15625,0,0.149533,0.125,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.318681,0.21875,0,0.168224,0.125,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0.40625,0.8,0.925234,0.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.395604,0.328125,0,0.17757,0.125,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.340659,0.234375,0,0.228972,0.125,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.395604,0.296875,0,0.205607,0.125,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.824176,0.796875,0.4,0.700935,0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.010989,0.90625,0.8,0.742991,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.318681,0.15625,0,0.191589,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.395604,0.21875,0,0.140187,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.021978,0.828125,0.8,0.981308,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.351648,0.28125,0,0.261682,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.857143,0.8125,0.6,0.808411,0.375,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.395604,0.1875,0,0.28972,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.340659,0.15625,0,0.14486,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.010989,0.6875,1,0.864486,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0.828125,0.8,0.841121,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.824176,0.59375,0.2,0.401869,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.340659,0.296875,0,0.238318,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.527473,0.53125,0.2,0.827103,0.5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.340659,0.28125,0,0.242991,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.373626,0.171875,0,0.238318,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.043956,0.65625,0.8,0.261682,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.384615,0.296875,0,0.182243,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.318681,0.296875,0,0.17757,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.32967,0.28125,0,0.168224,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.010989,0.875,1,0.985981,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.307692,0.15625,0,0.205607,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.021978,0.90625,1,0.742991,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.010989,0.703125,0.8,0.995327,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.318681,0.28125,0,0.149533,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.835165,1,0.4,0.602804,0.375,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.835165,0.859375,0.6,0.607477,0.375,0,1,0,0,0,0,0,0,1,0,0,0,0,1
0.021978,0.890625,1,0.990654,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.010989,0.921875,0.8,0.691589,0.375,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.296703,0.3125,0,0.168224,0.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.021978,0.90625,0.8,0.88785,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.791209,0.53125,0.8,0.303738,0.25,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0.373626,0.28125,0,0.266355,0.125,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.89011,0.96875,0.4,0.785047,0.5,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.736264,0.78125,0.6,0.593458,0.375,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0.373626,0.21875,0,0.182243,0.125,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.714286,0.984375,0,0.845794,0.125,0,1,0,0,0,0,0,0,0,1,0,0,0,1
0,0.640625,0.6,0.836449,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.395604,0.203125,0,0.247664,0.125,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0.796875,1,0.929907,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0.021978,0.953125,0.8,0.845794,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.021978,0.671875,1,0.981308,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.010989,0.734375,0.8,0.929907,0.25,0,1,0,0,0,0,0,0,0,0,1,0,0,1
0.340659,0.28125,0,0.191589,0.125,0,1,0,0,0,0,0,0,0,0,0,1,0,1
0.373626,0.3125,0,0.285047,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.32967,0.3125,0,0.214953,0.125,0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.395604,0.28125,0,0.205607,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.318681,0.203125,0,0.257009,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.769231,0.359375,0.4,0.200935,0.125,0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.824176,0.765625,0.4,0.714953,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.021978,0.640625,0.8,0.911215,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.021978,0.796875,0.8,0.976636,0.25,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0.087912,0.75,0.6,0.635514,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.384615,0.140625,0,0.168224,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.307692,0.328125,0,0.158879,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.010989,0.671875,0.8,0.911215,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.340659,0.21875,0,0.158879,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.879121,1,0.6,0.700935,0.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.362637,0.1875,0,0.219626,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.406593,0.296875,0,0.154206,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,0.734375,0.8,0.742991,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.307692,0.234375,0,0.275701,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.010989,0.640625,0.8,0.78972,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.010989,0.75,0.8,0.85514,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.021978,0.953125,0.8,0.878505,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.89011,1,0.6,0.584112,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.318681,0.25,0,0.271028,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.296703,0.25,0,0.238318,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.362637,0.15625,0,0.252336,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0,0.90625,1,0.799065,0.25,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.373626,0.25,0,0.28972,0.125,0,1,0,1,0,0,0,0,0,0,0,0,0,1
0.164835,0.15625,1,0.598131,0.375,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.901099,1,0.4,0.752336,0.375,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.384615,0.21875,0,0.242991,0.125,0,1,0,0,1,0,0,0,0,0,0,0,0,1
0.681319,0.796875,0.2,0.378505,0.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0.340659,0.203125,0,0.275701,0.125,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0.373626,0.171875,0,0.224299,0.125,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0,0.765625,0.8,0.901869,0.25,0,1,0,0,0,1,0,0,0,0,0,0,0,1
0.373626,0.25,0,0.299065,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.89011,0.9375,0.4,0.757009,0.375,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0.824176,1,0.6,0.64486,0.375,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0.307692,0.1875,0,0.191589,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0.846154,0.5,0.6,0.780374,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
0.021978,0.75,0.8,0.724299,0.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.307692,0.328125,0,0.172897,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.340659,0.15625,0,0.168224,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.054945,0.40625,0.4,0.28972,0.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.340659,0.15625,0,0.182243,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.725275,1,0.4,0.560748,0.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.021978,0.75,0.8,0.953271,0.375,1,1,0,0,0,0,0,1,0,0,0,0,0,0
0.406593,0.203125,0,0.196262,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.021978,0.875,0.8,0.766355,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.318681,0.203125,0,0.168224,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.67033,0.828125,0.2,0.406542,0.375,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0,0.71875,0.8,0.719626,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.307692,0.140625,0,0.257009,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.010989,0.734375,0.8,0.915888,0.25,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.318681,0.328125,0,0.205607,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.89011,1,0.6,0.584112,0.375,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.384615,0.234375,0,0.196262,0.125,0,1,0,0,0,0,0,1,0,0,0,0,0,0
0.296703,0.21875,0,0.168224,0.125,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.241758,0.75,1,0.172897,0.375,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0.010989,0.75,0.8,0.873832,0.25,1,1,0,0,0,0,1,0,0,0,0,0,0,0
0.362637,0.1875,0,0.154206,0.125,0,1,0,0,0,0,0,0,1,0,0,0,0,0
